Sample in Buffer,Sample in Window,TRIGGER,TEC1[15:0],Target_Temp[15:0],change_target_temp[3:0],u_pid_contorl/Target_Temp1[15:0],u_pid_contorl/AD_output[15:0],u_ila_0_error[15:0]
128,128,0,8000,0000,0,1900,8000,fe02
129,129,0,8000,0000,0,1900,8000,fe02
130,130,0,8000,0000,0,1900,8000,fe02
131,131,0,8000,0000,0,1900,8000,fe02
132,132,0,8000,0000,0,1900,8000,fe02
133,133,0,8000,0000,0,1900,8000,fe02
134,134,0,8000,0000,0,1900,8000,fe02
135,135,0,8000,0000,0,1900,8000,fe02
136,136,0,8000,0000,0,1900,8000,fe02
137,137,0,8000,0000,0,1900,8000,fe02
138,138,0,8000,0000,0,1900,8000,fe02
139,139,0,8000,0000,0,1900,8000,fe02
140,140,0,8000,0000,0,1900,8000,fe02
141,141,0,8000,0000,0,1900,8000,fe02
142,142,0,8000,0000,0,1900,8000,fe02
143,143,0,8000,0000,0,1900,8000,fe02
144,144,0,8000,0000,0,1900,8000,fe02
145,145,0,8000,0000,0,1900,8000,fe02
146,146,0,8000,0000,0,1900,8000,fe02
147,147,0,8000,0000,0,1900,8000,fe02
148,148,0,8000,0000,0,1900,8000,fe02
149,149,0,8000,0000,0,1900,8000,fe02
150,150,0,8000,0000,0,1900,8000,fe02
151,151,0,8000,0000,0,1900,8000,fe02
152,152,0,8000,0000,0,1900,8000,fe02
153,153,0,8000,0000,0,1900,8000,fe02
154,154,0,8000,0000,0,1900,8000,fe02
155,155,0,8000,0000,0,1900,8000,fe02
156,156,0,8000,0000,0,1900,8000,fe02
157,157,0,8000,0000,0,1900,8000,fe02
158,158,0,8000,0000,0,1900,8000,fe02
159,159,0,8000,0000,0,1900,8000,fe02
160,160,0,8000,0000,0,1900,8000,fe02
161,161,0,8000,0000,0,1900,8000,fe02
162,162,0,8000,0000,0,1900,8000,fe02
163,163,0,8000,0000,0,1900,8000,fe02
164,164,0,8000,0000,0,1900,8000,fe02
165,165,0,8000,0000,0,1900,8000,fe02
166,166,0,8000,0000,0,1900,8000,fe02
167,167,0,8000,0000,0,1900,8000,fe02
168,168,0,8000,0000,0,1900,8000,fe02
169,169,0,8000,0000,0,1900,8000,fe02
170,170,0,8000,0000,0,1900,8000,fe02
171,171,0,8000,0000,0,1900,8000,fe02
172,172,0,8000,0000,0,1900,8000,fe02
173,173,0,8000,0000,0,1900,8000,fe02
174,174,0,8000,0000,0,1900,8000,fe02
175,175,0,8000,0000,0,1900,8000,fe02
176,176,0,8000,0000,0,1900,8000,fe02
177,177,0,8000,0000,0,1900,8000,fe02
178,178,0,8000,0000,0,1900,8000,fe02
179,179,0,8000,0000,0,1900,8000,fe02
180,180,0,8000,0000,0,1900,8000,fe02
181,181,0,8000,0000,0,1900,8000,fe02
182,182,0,8000,0000,0,1900,8000,fe02
183,183,0,8000,0000,0,1900,8000,fe02
184,184,0,8000,0000,0,1900,8000,fe02
185,185,0,8000,0000,0,1900,8000,fe02
186,186,0,8000,0000,0,1900,8000,fe02
187,187,0,8000,0000,0,1900,8000,fe02
188,188,0,8000,0000,0,1900,8000,fe02
189,189,0,8000,0000,0,1900,8000,fe02
190,190,0,8000,0000,0,1900,8000,fe02
191,191,0,8000,0000,0,1900,8000,fe02
192,192,0,8000,0000,0,1900,8000,fe02
193,193,0,8000,0000,0,1900,8000,fe02
194,194,0,8000,0000,0,1900,8000,fe02
195,195,0,8000,0000,0,1900,8000,fe02
196,196,0,8000,0000,0,1900,8000,fe02
197,197,0,8000,0000,0,1900,8000,fe02
198,198,0,8000,0000,0,1900,8000,fe02
199,199,0,8000,0000,0,1900,8000,fe02
200,200,0,8000,0000,0,1900,8000,fe02
201,201,0,8000,0000,0,1900,8000,fe02
202,202,0,8000,0000,0,1900,8000,fe02
203,203,0,8000,0000,0,1900,8000,fe02
204,204,0,8000,0000,0,1900,8000,fe02
205,205,0,8000,0000,0,1900,8000,fe02
206,206,0,8000,0000,0,1900,8000,fe02
207,207,0,8000,0000,0,1900,8000,fe02
208,208,0,8000,0000,0,1900,8000,fe02
209,209,0,8000,0000,0,1900,8000,fe02
210,210,0,8000,0000,0,1900,8000,fe02
211,211,0,8000,0000,0,1900,8000,fe02
212,212,0,8000,0000,0,1900,8000,fe02
213,213,0,8000,0000,0,1900,8000,fe02
214,214,0,8000,0000,0,1900,8000,fe02
215,215,0,8000,0000,0,1900,8000,fe02
216,216,0,8000,0000,0,1900,8000,fe02
217,217,0,8000,0000,0,1900,8000,fe02
218,218,0,8000,0000,0,1900,8000,fe02
219,219,0,8000,0000,0,1900,8000,fe02
220,220,0,8000,0000,0,1900,8000,fe02
221,221,0,8000,0000,0,1900,8000,fe02
222,222,0,8000,0000,0,1900,8000,fe02
223,223,0,8000,0000,0,1900,8000,fe02
224,224,0,8000,0000,0,1900,8000,fe02
225,225,0,8000,0000,0,1900,8000,fe02
226,226,0,8000,0000,0,1900,8000,fe02
227,227,0,8000,0000,0,1900,8000,fe02
228,228,0,8000,0000,0,1900,8000,fe02
229,229,0,8000,0000,0,1900,8000,fe02
230,230,0,8000,0000,0,1900,8000,fe02
231,231,0,8000,0000,0,1900,8000,fe02
232,232,0,8000,0000,0,1900,8000,fe02
233,233,0,8000,0000,0,1900,8000,fe02
234,234,0,8000,0000,0,1900,8000,fe02
235,235,0,8000,0000,0,1900,8000,fe02
236,236,0,8000,0000,0,1900,8000,fe02
237,237,0,8000,0000,0,1900,8000,fe02
238,238,0,8000,0000,0,1900,8000,fe02
239,239,0,8000,0000,0,1900,8000,fe02
240,240,0,8000,0000,0,1900,8000,fe02
241,241,0,8000,0000,0,1900,8000,fe02
242,242,0,8000,0000,0,1900,8000,fe02
243,243,0,8000,0000,0,1900,8000,fe02
244,244,0,8000,0000,0,1900,8000,fe02
245,245,0,8000,0000,0,1900,8000,fe02
246,246,0,8000,0000,0,1900,8000,fe02
247,247,0,8000,0000,0,1900,8000,fe02
248,248,0,8000,0000,0,1900,8000,fe02
249,249,0,8000,0000,0,1900,8000,fe02
250,250,0,8000,0000,0,1900,8000,fe02
251,251,0,8000,0000,0,1900,8000,fe02
252,252,0,8000,0000,0,1900,8000,fe02
253,253,0,8000,0000,0,1900,8000,fe02
254,254,0,8000,0000,0,1900,8000,fe02
255,255,0,8000,0000,0,1900,8000,fe02
256,256,0,8000,0000,0,1900,8000,fe02
257,257,0,8000,0000,0,1900,8000,fe02
